case,group,stage,report,from,to,model,risk_percent,settings_json,initial_balance,final_balance,net_profit,return_pct,profit_factor,win_rate_pct,max_drawdown_pct,trades,sharpe_ratio,recovery_factor,history_quality,analysed_sharpe,analysed_recovery
structure-ny0930-or05-m5,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0930-or05-m5.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""5"",""InpOpeningRangeMinutes"":""5"",""InpMagic"":""86500033"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""30"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10137.09,137.09,1.37,1.01,50.3,26.58,332,0.21,0.05,98%,0.06,0.05
structure-ny0930-or15-m5,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0930-or15-m5.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""5"",""InpOpeningRangeMinutes"":""15"",""InpMagic"":""86500034"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""30"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
structure-ny0930-or30-m5,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0930-or30-m5.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""5"",""InpOpeningRangeMinutes"":""30"",""InpMagic"":""86500035"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""30"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10763.44,763.44,7.63,1.83,60.0,5.52,30,9.3,1.33,98%,1.3,2.09
structure-ny0930-or15-m15,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0930-or15-m15.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""15"",""InpOpeningRangeMinutes"":""15"",""InpMagic"":""86500036"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""30"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12141.86,2141.86,21.42,1.6,56.7,6.93,97,8.16,2.63,98%,1.83,3.04
structure-ny0930-or30-m15,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0930-or30-m15.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""15"",""InpOpeningRangeMinutes"":""30"",""InpMagic"":""86500037"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""30"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10455.93,455.93,4.56,1.49,55.17,4.57,29,6.02,0.99,98%,0.83,1.38
structure-ny0930-or30-m30,structure,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-structure-ny0930-or30-m30.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpSignalTimeframe"":""30"",""InpOpeningRangeMinutes"":""30"",""InpMagic"":""86500038"",""InpMarkovSignalGate"":""0.05"",""InpSessionHour"":""9"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpSessionMinute"":""30"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,9598.13,-401.87,-4.02,0.55,42.11,5.69,19,-5.0,-0.7,98%,-1.05,-0.94
entry-direct,entry,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-entry-direct.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500039"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpEntryMode"":""0"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
entry-retest,entry,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-entry-retest.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500040"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpEntryMode"":""1"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,10953.3,953.3,9.53,1.65,60.0,4.93,40,9.23,1.82,98%,1.29,2.45
window-30,trade-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-window-30.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500041"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpTradeWindowMinutes"":""30"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,11031.28,1031.28,10.31,1.39,53.23,11.77,62,7.0,0.83,98%,1.03,0.98
window-60,trade-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-window-60.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500042"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpTradeWindowMinutes"":""60"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,12071.1,2071.1,20.71,1.48,52.63,6.9,95,8.21,2.47,98%,1.55,2.89
window-120,trade-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-window-120.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500043"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpTradeWindowMinutes"":""120"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
window-180,trade-window,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-window-180.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500044"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpTradeWindowMinutes"":""180"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13094.32,3094.32,30.94,1.53,53.19,6.42,141,8.01,4.33,98%,1.99,5.01
profile-none,profile,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-profile-none.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpUseProfileValueArea"":""false"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500045"",""InpUseProfileBoundaryLVN"":""false"",""InpUseProfilePOCBias"":""false"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
profile-value-area,profile,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-profile-value-area.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpUseProfileValueArea"":""true"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500046"",""InpUseProfileBoundaryLVN"":""false"",""InpUseProfilePOCBias"":""false"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
profile-poc,profile,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-profile-poc.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpUseProfileValueArea"":""false"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500047"",""InpUseProfileBoundaryLVN"":""false"",""InpUseProfilePOCBias"":""true"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
profile-lvn,profile,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-profile-lvn.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpUseProfileValueArea"":""false"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500048"",""InpUseProfileBoundaryLVN"":""true"",""InpUseProfilePOCBias"":""false"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
profile-va-poc,profile,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-profile-va-poc.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpUseProfileValueArea"":""true"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500049"",""InpUseProfileBoundaryLVN"":""false"",""InpUseProfilePOCBias"":""true"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
profile-va-lvn,profile,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-profile-va-lvn.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMarkovMinLabels"":""252"",""InpMarkovThreshold"":""0.05"",""InpMarkovSignalGate"":""0.05"",""InpUseProfileValueArea"":""true"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMagic"":""86500050"",""InpUseProfileBoundaryLVN"":""true"",""InpUseProfilePOCBias"":""false"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,10000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,98%,0.0,0.0
confirmation-permissive,confirmation,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-confirmation-permissive.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMinOpeningRelativeVolume"":""0.60"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpRequireVWAP"":""false"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMinBreakoutRelativeVolume"":""0.80"",""InpMagic"":""86500051"",""InpUseMarkovRegimeFilter"":""false"",""InpUseEMATrend"":""false""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
confirmation-volume,confirmation,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-confirmation-volume.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMinOpeningRelativeVolume"":""0.80"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpRequireVWAP"":""false"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMinBreakoutRelativeVolume"":""1.10"",""InpMagic"":""86500052"",""InpUseMarkovRegimeFilter"":""false"",""InpUseEMATrend"":""false""}",10000.0,11250.96,1250.96,12.51,1.71,57.78,5.64,45,11.76,2.11,98%,1.43,2.26
confirmation-ema,confirmation,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-confirmation-ema.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpUseEMATrend"":""true"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpMagic"":""86500053"",""InpRequireVWAP"":""false"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,12152.79,2152.79,21.53,1.79,56.72,5.26,67,12.0,3.42,98%,1.94,4.14
confirmation-vwap,confirmation,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-confirmation-vwap.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpUseEMATrend"":""false"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpMagic"":""86500054"",""InpRequireVWAP"":""true"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
confirmation-strict,confirmation,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-confirmation-strict.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpMinOpeningRelativeVolume"":""0.80"",""InpMarkovMinLabels"":""252"",""InpMarkovSignalGate"":""0.05"",""InpRequireVWAP"":""true"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMinBreakoutRelativeVolume"":""1.10"",""InpMagic"":""86500055"",""InpUseMarkovRegimeFilter"":""false"",""InpUseEMATrend"":""true""}",10000.0,11220.63,1220.63,12.21,2.58,65.22,3.29,23,22.03,3.46,98%,1.85,3.92
safe-off,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-safe-off.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500056"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
safe-on,safe-filter,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-safe-on.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""true"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500057"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,9701.01,-298.99,-2.99,0.72,52.17,5.09,23,-5.0,-0.59,98%,-0.63,-0.62
final-current,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-final-current.htm,2023.09.01,2025.08.31,1,1.00,"{""InpUseMarkovRegimeFilter"":""false"",""InpMarkovMinLabels"":""252"",""InpMagic"":""86500058"",""InpMarkovThreshold"":""0.05"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovSignalGate"":""0.05"",""InpResearchSession"":""0"",""InpRiskPercent"":""1.00"",""InpMarkovHistoryBars"":""2600""}",10000.0,13208.96,3208.96,32.09,1.61,55.83,5.56,120,9.47,4.55,98%,2.1,6.23
final-rr2-native-no-be,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-final-rr2-native-no-be.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpRewardRisk"":""2.00"",""InpUseDynamicTrailingSL"":""false"",""InpMagic"":""86500059"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpMarkovThreshold"":""0.05"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12788.16,2788.16,27.88,1.47,49.17,6.89,120,8.0,3.59,98%,1.89,4.17
final-rr25-dyn5020-no-be,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-final-rr25-dyn5020-no-be.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpRewardRisk"":""2.50"",""InpUseDynamicTrailingSL"":""true"",""InpMagic"":""86500060"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpDynamicLockFraction"":""0.20"",""InpMarkovThreshold"":""0.05"",""InpDynamicTriggerFraction"":""0.50"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,12973.7,2973.7,29.74,1.49,49.17,5.55,120,8.12,4.27,98%,1.87,5.63
final-rr25-dyn6020-no-be,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-final-rr25-dyn6020-no-be.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpRewardRisk"":""2.50"",""InpUseDynamicTrailingSL"":""true"",""InpMagic"":""86500061"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpDynamicLockFraction"":""0.20"",""InpMarkovThreshold"":""0.05"",""InpDynamicTriggerFraction"":""0.60"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""false""}",10000.0,13133.33,3133.33,31.33,1.52,49.17,5.56,120,8.21,4.49,98%,1.96,5.93
final-rr25-dyn6020-no-be-safe,combined-finalist,Development,C:\Users\hama101\Desktop\geek\ai trader\AAA EAs\BM Trading Robust Sets 2026-08-04\Active Portfolio Full Pipeline 2026-09-05\05 ORB Volume Profile\Backtest Reports\Development\orb-volume-xau-development-final-rr25-dyn6020-no-be-safe.htm,2023.09.01,2025.08.31,1,1.00,"{""InpMarkovHistoryBars"":""2600"",""InpRiskPercent"":""1.00"",""InpRewardRisk"":""2.50"",""InpUseDynamicTrailingSL"":""true"",""InpMagic"":""86500062"",""InpMarkovSignalGate"":""0.05"",""InpBreakEvenAtR"":""0"",""InpDynamicLockFraction"":""0.20"",""InpMarkovThreshold"":""0.05"",""InpDynamicTriggerFraction"":""0.60"",""InpResearchSession"":""0"",""InpMarkovReturnWindow"":""40"",""InpResearchBrokerUtcOffsetMinutes"":""0"",""InpMarkovMinLabels"":""252"",""InpUseMarkovRegimeFilter"":""true""}",10000.0,9645.46,-354.54,-3.55,0.72,34.78,6.42,23,-5.0,-0.55,98%,-0.69,-0.57
